##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_902707085.2	PRJEB35745	SAMEA6377903	CACSNE000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-001-0045-L-	na	latest	Contig	Major	Full	2020-07-20	H1-001-0045-L-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/707/085/GCA_902707085.2_H1-001-0045-L-T.v2	from large multi-isolate project	na	na	haploid	bacteria	4988725	4988725	50.500000	0	139	139	na	na		0	0	0	na
GCA_902707265.2	PRJEB35745	SAMEA6377921	CACSNR000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-001-0063-G-	na	latest	Contig	Major	Full	2020-07-20	H1-001-0063-G-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/707/265/GCA_902707265.2_H1-001-0063-G-T.v2	from large multi-isolate project	na	na	haploid	bacteria	4961180	4961180	50.500000	0	139	139	na	na		0	0	0	na
GCA_902708665.2	PRJEB35745	SAMEA6378074	CACSTE000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-002-0060-C-	na	latest	Contig	Major	Full	2020-07-20	H1-002-0060-C-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/708/665/GCA_902708665.2_H1-002-0060-C-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5077040	5077040	51.000000	0	252	252	na	na		0	0	0	na
GCA_902708945.2	PRJEB35745	SAMEA6378101	CACSUA000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0009-G-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0009-G-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/708/945/GCA_902708945.2_H1-003-0009-G-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5084735	5084735	50.500000	0	177	177	na	na		0	0	0	na
GCA_902708965.2	PRJEB35745	SAMEA6378110	CACSUK000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0018-G-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0018-G-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/708/965/GCA_902708965.2_H1-003-0018-G-T.v2	from large multi-isolate project	na	na	haploid	bacteria	4983182	4983182	50.500000	0	118	118	na	na		0	0	0	na
GCA_902709195.2	PRJEB35745	SAMEA6378125	CACSVM000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0034-G-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0034-G-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/709/195/GCA_902709195.2_H1-003-0034-G-T.v2	from large multi-isolate project	na	na	haploid	bacteria	4999964	4999964	50.500000	0	161	161	na	na		0	0	0	na
GCA_902709785.2	PRJEB35745	SAMEA6378194	CACSXL000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0103-H-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0103-H-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/709/785/GCA_902709785.2_H1-003-0103-H-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5193071	5193071	50.500000	0	190	190	na	na		0	0	0	na
GCA_902709905.2	PRJEB35745	SAMEA6378198	CACSYA000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0107-C-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0107-C-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/709/905/GCA_902709905.2_H1-003-0107-C-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5530966	5530966	50.500000	0	192	192	na	na		0	0	0	na
GCA_902710035.2	PRJEB35745	SAMEA6378201	CACSYF000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-003-0110-L-	na	latest	Contig	Major	Full	2020-07-20	H1-003-0110-L-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/710/035/GCA_902710035.2_H1-003-0110-L-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5373473	5373473	50.500000	0	199	199	na	na		0	0	0	na
GCA_902710815.2	PRJEB35745	SAMEA6378301	CACTBT000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-005-0048-I-	na	latest	Contig	Major	Full	2020-07-20	H1-005-0048-I-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/710/815/GCA_902710815.2_H1-005-0048-I-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5330358	5330358	50.500000	0	198	198	na	na		0	0	0	na
GCA_902710855.2	PRJEB35745	SAMEA6378295	CACTBZ000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-005-0042-D-	na	latest	Contig	Major	Full	2020-07-20	H1-005-0042-D-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/710/855/GCA_902710855.2_H1-005-0042-D-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5276758	5276758	50.500000	0	183	183	na	na		0	0	0	na
GCA_902711725.2	PRJEB35745	SAMEA6378385	CACTFB000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-007-0027-K-	na	latest	Contig	Major	Full	2020-07-20	H1-007-0027-K-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/711/725/GCA_902711725.2_H1-007-0027-K-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5305985	5305985	51.000000	0	267	267	na	na		0	0	0	na
GCA_902711745.2	PRJEB35745	SAMEA6378386	CACTFG000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-007-0028-C-	na	latest	Contig	Major	Full	2020-07-20	H1-007-0028-C-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/711/745/GCA_902711745.2_H1-007-0028-C-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5160065	5160065	50.500000	0	146	146	na	na		0	0	0	na
GCA_902712075.2	PRJEB35745	SAMEA6377908	CACTGH000000000.2	na	562	562	Escherichia coli	strain=type strain: H1-001-0050-M-	na	latest	Contig	Major	Full	2020-07-20	H1-001-0050-M-T.v2	Hopital Henri Mondor APHP	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/712/075/GCA_902712075.2_H1-001-0050-M-T.v2	from large multi-isolate project	na	na	haploid	bacteria	5051890	5051890	50.500000	0	189	189	na	na		0	0	0	na
GCA_965137265.1	PRJEB85433	SAMEA117660695	CBCSAP000000000.1	na	562	562	Escherichia coli	strain=type strain: CIP54.8	CIP54.8T	latest	Scaffold	Major	Full	2025-02-12	CIP54.8T	Collection de l'Institut Pasteur	GCF_965137265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/265/GCA_965137265.1_CIP54.8T	na	assembly designated as neotype	na	haploid	bacteria	4978172	4977882	50.500000	0	77	77	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4979	4731	247	na
GCA_965139055.1	PRJEB85433	SAMEA117660737	CBCSJJ000000000.1	na	621	621	Shigella boydii	strain=type strain: CIP82.50	CIP82.50T	latest	Scaffold	Major	Full	2025-02-13	CIP82.50T	Collection de l'Institut Pasteur	GCF_965139055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/055/GCA_965139055.1_CIP82.50T	na	assembly from type material	na	haploid	bacteria	4145380	4145359	51.000000	0	351	351	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4332	4069	252	na
GCA_965137205.1	PRJEB85433	SAMEA117660450	CBCSBB000000000.1	na	628	628	Xenorhabdus nematophila	strain=type strain: CIP109146	CIP109146T	latest	Scaffold	Major	Full	2025-02-12	CIP109146T	Collection de l'Institut Pasteur	GCF_965137205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/205/GCA_965137205.1_CIP109146T	na	na	na	haploid	bacteria	4336949	4336726	44.000000	0	279	279	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	3930	3787	131	na
GCA_965139405.1	PRJEB85433	SAMEA117660730	CBCSII000000000.1	na	631	631	Yersinia intermedia	strain=type strain: CIP80.28	CIP80.28T	latest	Scaffold	Major	Full	2025-02-13	CIP80.28T	Collection de l'Institut Pasteur	GCF_965139405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/405/GCA_965139405.1_CIP80.28T	na	assembly from type material	na	haploid	bacteria	4657438	4657249	47.500000	0	60	60	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4240	4099	132	na
GCA_965139125.1	PRJEB85433	SAMEA117660724	CBCSGT000000000.1	na	670	670	Vibrio parahaemolyticus	strain=type strain: CIP75.2	CIP75.2T	latest	Scaffold	Major	Full	2025-02-13	CIP75.2T	Collection de l'Institut Pasteur	GCF_965139125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/139/125/GCA_965139125.1_CIP75.2T	na	assembly from type material	na	haploid	bacteria	5074079	5074001	45.500000	0	49	49	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4667	4526	137	na
GCA_965135895.1	PRJEB85433	SAMEA117660290	CBCRWT000000000.1	na	685	685	Vibrio diazotrophicus	strain=type strain: CIP103191	CIP103191T	latest	Scaffold	Major	Full	2025-02-12	CIP103191T	Collection de l'Institut Pasteur	GCF_965135895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/135/895/GCA_965135895.1_CIP103191T	na	assembly from type material	na	haploid	bacteria	4687952	4687779	43.500000	0	127	127	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4325	4206	115	na
GCA_900163915.1	PRJEB17713	SAMEA78796918	FULF00000000.1	na	687	687	Vibrio gazogenes	strain=type strain: CECT 5068	na	latest	Contig	Major	Full	2017-02-11	V_gazogenes _CECT5068T_Velvet_Prokka_EMBL	UVEG	GCF_900163915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/163/915/GCA_900163915.1_V_gazogenes_CECT5068T_Velvet_Prokka_EMBL	na	assembly from type material	na	haploid	bacteria	4018107	4018107	45.500000	0	216	216	UVEG	Annotation submitted by UVEG	2017-02-11	3575	3509	66	na
GCA_965136185.1	PRJEB85433	SAMEA117660277	CBCRUP000000000.1	na	738	738	Glaesserella parasuis	strain=type strain: CIP100918	CIP100918T	latest	Scaffold	Major	Full	2025-02-12	CIP100918T	Collection de l'Institut Pasteur	GCF_965136185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/185/GCA_965136185.1_CIP100918T	na	assembly from type material	na	haploid	bacteria	2311677	2305778	40.000000	0	139	139	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2309	2238	70	na
GCA_965140095.1	PRJEB85433	SAMEA117660728	CBCSKQ000000000.1	na	817	817	Bacteroides fragilis	strain=type strain: CIP77.16	CIP77.16T	latest	Scaffold	Major	Full	2025-02-13	CIP77.16T	Collection de l'Institut Pasteur	GCF_965140095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/140/095/GCA_965140095.1_CIP77.16T	na	assembly from type material	na	haploid	bacteria	5157433	5157236	43.000000	0	64	64	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-13	4346	4262	80	na
GCA_965136315.1	PRJEB85433	SAMEA117660306	CBCRWF000000000.1	na	821	821	Phocaeicola vulgatus	strain=type strain: CIP103714	CIP103714T	latest	Scaffold	Major	Full	2025-02-12	CIP103714T	Collection de l'Institut Pasteur	GCF_965136315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/315/GCA_965136315.1_CIP103714T	na	assembly from type material	na	haploid	bacteria	4991738	4991638	42.000000	0	130	130	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	4142	4055	78	na
GCA_965136735.1	PRJEB85433	SAMEA117660392	CBCRUT000000000.1	na	870	870	Dichelobacter nodosus	strain=type strain: CIP107042	CIP107042T	latest	Scaffold	Major	Full	2025-02-12	CIP107042T	Collection de l'Institut Pasteur	GCF_965136735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/735/GCA_965136735.1_CIP107042T	na	assembly from type material	na	haploid	bacteria	1440823	1440364	44.000000	0	23	23	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	1394	1336	53	na
GCA_965137425.1	PRJEB85433	SAMEA117660386	CBCRYV000000000.1	na	907	907	Megasphaera elsdenii	strain=type strain: CIP106852	CIP106852T	latest	Scaffold	Major	Full	2025-02-12	CIP106852T	Collection de l'Institut Pasteur	GCF_965137425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/137/425/GCA_965137425.1_CIP106852T	na	assembly from type material	na	haploid	bacteria	2413558	2406661	53.000000	0	52	52	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-11	2261	2183	75	na
GCA_965136225.1	PRJEB85433	SAMEA117660284	CBCRTH000000000.1	na	1014	1014	Weeksella virosa	strain=type strain: CIP103040	CIP103040T	latest	Scaffold	Major	Full	2025-02-10	CIP103040T	Collection de l'Institut Pasteur	GCF_965136225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/136/225/GCA_965136225.1_CIP103040T	na	assembly from type material	na	haploid	bacteria	2204433	2204090	36.000000	0	20	20	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-10	2112	2047	62	na
GCA_965138635.1	PRJEB85433	SAMEA117660705	CBCSES000000000.1	na	1063	1063	Cereibacter sphaeroides	strain=type strain: CIP60.6	CIP60.6T	latest	Scaffold	Major	Full	2025-02-13	CIP60.6T	Collection de l'Institut Pasteur	GCF_965138635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/138/635/GCA_965138635.1_CIP60.6T	na	assembly from type material	na	haploid	bacteria	4537163	4536992	69.000000	0	86	86	Collection de l'Institut Pasteur	Annotation submitted by Collection de l'Institut Pasteur	2025-02-12	4360	4289	64	na
GCA_900097275.1	PRJEB2655	SAMEA2298704	FMNO00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA579	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#5	SC	GCF_900097275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/275/GCA_900097275.1_12291_8_5	na	na	na	haploid	bacteria	2946891	2942773	32.500000	0	55	55	SC	Annotation submitted by SC	2016-10-03	2829	2767	62	na
GCA_900097285.1	PRJEB2655	SAMEA2298716	FMMQ00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA035668	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#17	SC	GCF_900097285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/285/GCA_900097285.1_12291_8_17	na	na	na	haploid	bacteria	2717118	2715452	32.500000	0	20	20	SC	Annotation submitted by SC	2016-10-03	2544	2482	62	na
GCA_900097355.1	PRJEB2655	SAMEA2298747	FMNJ00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA218	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#48	SC	GCF_900097355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/355/GCA_900097355.1_12291_8_48	na	na	na	haploid	bacteria	2795119	2792832	32.500000	0	14	14	SC	Annotation submitted by SC	2016-10-03	2657	2595	62	na
GCA_900097375.1	PRJEB2655	SAMEA2298709	FMOG00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA045	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#10	SC	GCF_900097375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/375/GCA_900097375.1_12291_8_10	na	na	na	haploid	bacteria	2800798	2797916	32.500000	0	19	19	SC	Annotation submitted by SC	2016-10-03	2658	2596	62	na
GCA_900097435.1	PRJEB2655	SAMEA2298723	FMNK00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA82	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#24	SC	GCF_900097435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/435/GCA_900097435.1_12291_8_24	na	na	na	haploid	bacteria	2801794	2798956	32.500000	0	14	14	SC	Annotation submitted by SC	2016-10-03	2651	2589	62	na
GCA_900097475.1	PRJEB2655	SAMEA2298713	FMMX00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA040	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#14	SC	GCF_900097475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/475/GCA_900097475.1_12291_8_14	na	na	na	haploid	bacteria	2829307	2825847	32.500000	0	16	16	SC	Annotation submitted by SC	2016-10-03	2709	2647	62	na
GCA_900097525.1	PRJEB2655	SAMEA2298718	FMNY00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA118	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#19	SC	GCF_900097525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/525/GCA_900097525.1_12291_8_19	na	na	na	haploid	bacteria	2757622	2754467	32.500000	0	19	19	SC	Annotation submitted by SC	2016-10-03	2596	2534	62	na
GCA_900097535.1	PRJEB2655	SAMEA2298741	FMMZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA176	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#42	SC	GCF_900097535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/535/GCA_900097535.1_12291_8_42	na	na	na	haploid	bacteria	2896282	2893393	32.500000	0	48	48	SC	Annotation submitted by SC	2016-10-03	2770	2708	62	na
GCA_900097575.1	PRJEB2655	SAMEA2298734	FMND00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA300	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#35	SC	GCF_900097575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/575/GCA_900097575.1_12291_8_35	na	na	na	haploid	bacteria	2749025	2745845	32.500000	0	15	15	SC	Annotation submitted by SC	2016-10-03	2588	2527	61	na
GCA_900097625.1	PRJEB2655	SAMEA2298750	FMOB00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA659	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#51	SC	GCF_900097625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/625/GCA_900097625.1_12291_8_51	na	na	na	haploid	bacteria	2948833	2945128	32.500000	0	52	52	SC	Annotation submitted by SC	2016-10-03	2841	2779	62	na
GCA_900097645.1	PRJEB2655	SAMEA2298705	FMNS00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA352	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#6	SC	GCF_900097645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/645/GCA_900097645.1_12291_8_6	na	na	na	haploid	bacteria	2791505	2788427	32.500000	0	14	14	SC	Annotation submitted by SC	2016-10-03	2650	2592	58	na
GCA_900097655.1	PRJEB2655	SAMEA2298703	FMNT00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA280	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#4	SC	GCF_900097655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/655/GCA_900097655.1_12291_8_4	na	na	na	haploid	bacteria	2796808	2794903	32.500000	0	20	20	SC	Annotation submitted by SC	2016-10-03	2668	2606	62	na
GCA_900097675.1	PRJEB2655	SAMEA2298743	FMNU00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA041776/938686	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#44	SC	GCF_900097675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/675/GCA_900097675.1_12291_8_44	na	na	na	haploid	bacteria	2766220	2763786	33.000000	0	16	16	SC	Annotation submitted by SC	2016-10-03	2629	2568	61	na
GCA_900097685.1	PRJEB2655	SAMEA2298755	FMNZ00000000.1	na	1280	1280	Staphylococcus aureus	strain=type strain: MRSA 138	na	latest	Scaffold	Major	Full	2016-10-03	12291_8#56	SC	GCF_900097685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/097/685/GCA_900097685.1_12291_8_56	na	na	na	haploid	bacteria	2836310	2833671	32.500000	0	16	16	SC	Annotation submitted by SC	2016-10-03	2718	2656	62	na
